,Unnamed: 0,Ticker,Category,Api key,Entry reasons,Exit reasons,Description,Conclusion,Entry time,Leverage,MFE,MAE,Avg. entry price,Exit time,Avg. exit price,Duration,Side,Percent,Net profit (%),Funding,PNL,Cumulative PNL,QTY,Peak qty,Volume,Commission,Month
50,50,BCHUSDT,,Api-hs1,,,,,2024-07-13 09:45:05,0.01005101,0.0,0.0,285.12,2024-07-13 09:45:09,284.41,0 days 00:00:04,SHORT,0.25,0.0,0.0,3.800000000000025,464.4,7400.0,7400.0,4214.522,0.0147587,2024-07
51,51,NEARUSDT,,Api-hs1,,,,,2024-07-13 13:31:35,0.02011098,0.0609,-2.3454,3.24746154,2024-07-13 13:40:08,3.255,0 days 00:08:33,LONG,0.23,0.0,0.0,7.5,471.9,1300.0,1300.0,8453.199999999999,0.02281579,2024-07
52,52,INJUSDT,,Api-hs1,,,,,2024-07-13 13:34:03,0.01016043,0.0,0.0,35.548,2024-07-13 13:34:06,35.637,0 days 00:00:03,LONG,0.25,0.0,0.0,3.800000000000025,475.7,60.0,60.0,4271.099999999999,0.01494084,2024-07
53,53,LTCUSDT,,Api-hs1,,,,,2024-07-13 13:36:04,0.0200039,0.4809,-1.8529,69.98795,2024-07-13 13:37:11,70.16,0 days 00:01:07,LONG,0.25,0.0,0.0,7.999999999999972,483.69999999999993,60.0,60.0,8408.877,0.02311712,2024-07
54,54,FILUSDT,,Api-hs1,,,,,2024-07-13 13:39:03,0.01001141,0.0,0.0,5.389,2024-07-13 13:39:14,5.402,0 days 00:00:11,LONG,0.24,0.0,0.0,3.599999999999994,487.2999999999999,390.0,390.0,4208.49,0.01472211,2024-07
55,55,LTCUSDT,,Api-hs1,,,,,2024-07-13 14:28:04,0.0199902,0.4153,-0.2291,69.83,2024-07-13 14:32:30,70.03,0 days 00:04:26,LONG,0.29,0.0,0.0,9.099999999999966,496.3999999999999,60100.0,60100.0,8405.586,0.02940151,2024-07
56,56,LTCUSDT,,Api-hs1,,,,,2024-07-13 14:42:05,0.01999406,371.0,0.0143,70.08,2024-07-13 14:45:53,70.28,0 days 00:03:48,LONG,0.29,0.0,0.0,8.999999999999986,505.3999999999999,59900.0,59900.0,8407.564,0.0294085,2024-07
57,57,AVAXUSDT,,Api-hs1,,,,,2024-07-13 14:49:04,0.01878491,0.2992,-0.3752,39.441,2024-07-13 14:57:00,39.551,0 days 00:07:56,LONG,0.28,0.0,0.0,8.200000000000003,513.5999999999999,100.0,100.0,7899.200000000001,0.02763068,2024-07
58,58,AVAXUSDT,,Api-hs1,,,,,2024-07-13 15:10:07,0.01878348,0.4513,-0.6795,39.439,2024-07-13 15:26:48,39.549,0 days 00:16:41,LONG,0.28,0.0,0.0,8.200000000000003,521.8,100.0,100.0,7898.8,0.0276293,2024-07
59,59,ADAUSDT,,Api-hs1,,,,,2024-07-13 15:17:03,0.0199229,0.4289,-0.1678,0.5363,2024-07-13 15:20:25,0.5378,0 days 00:03:22,LONG,0.28,0.0,0.0,8.800000000000026,530.6,7800.0,7800.0,8377.98,0.02930538,2024-07
60,60,LTCUSDT,,Api-hs1,,,,,2024-07-13 15:24:04,0.0199968,333.0,-0.0434,69.06,2024-07-13 15:27:40,69.25,0 days 00:03:36,LONG,0.28,0.0,0.0,8.599999999999994,539.2,60800.0,60800.0,8409.248,0.02941504,2024-07
61,61,LTCUSDT,,Api-hs1,,,,,2024-07-13 16:15:05,0.02998912,0.3499,-0.0146,68.6,2024-07-13 16:20:38,68.81,0 days 00:05:33,LONG,0.31,0.01,0.0,14.90000000000002,554.1,91800.0,91800.0,12614.238,0.04412091,2024-07
62,62,LTCUSDT,,Api-hs1,,,,,2024-07-13 16:45:05,0.02999959,0.3209,-598.0,68.56,2024-07-13 18:06:26,68.77,0 days 01:21:21,LONG,0.31,0.01,0.0,14.90000000000002,569.0,91900.0,91900.0,12620.627,0.04414324,2024-07
63,63,NEARUSDT,,Api-hs1,,,,,2024-07-13 19:05:04,0.01070455,0.2802,-0.6538,3.212,2024-07-13 19:34:38,3.22,0 days 00:29:34,LONG,0.25,0.0,0.0,3.999999999999986,573.0,700.0,700.0,4502.4,0.01575,2024-07
64,64,IMXUSDT,,Api-hs1,,,,,2024-07-13 22:12:04,0.00977626,0.2863,-0.6852,2.9335,2024-07-13 22:57:59,2.9408,0 days 00:45:55,LONG,0.25,0.0,0.0,3.699999999999974,576.6999999999999,700.0,700.0,4112.01,0.01438437,2024-07
65,65,STXUSDT,,Api-hs1,,,,,2024-07-13 22:18:04,0.0099874,0.2812,-0.1621,2.0978,2024-07-13 22:20:27,2.103,0 days 00:02:23,LONG,0.25,0.0,0.0,3.699999999999974,580.3999999999999,1000.0,1000.0,4200.8,0.01469499,2024-07
66,66,DOTUSDT,,Api-hs1,,,,,2024-07-14 03:13:03,0.01008679,0.0,0.0,7.567,2024-07-14 03:13:20,7.548,0 days 00:00:17,SHORT,0.25,0.0,0.0,3.800000000000025,584.1999999999999,280.0,280.0,4232.200000000001,0.01482067,2024-07
67,67,VETUSDT,,Api-hs1,,,,,2024-07-14 06:29:04,0.00999965,0.0,0.0,0.03495,2024-07-14 06:29:37,0.03486,0 days 00:00:33,SHORT,0.26,0.0,0.0,3.900000000000005,588.0999999999999,60100.0,60100.0,4195.581,0.01469264,2024-07
68,68,BCHUSDT,,Api-hs1,,,,,2024-07-14 08:44:04,0.00993503,0.3277,-0.2039,274.6,2024-07-14 08:47:05,273.91,0 days 00:03:01,SHORT,0.25,0.0,0.0,3.800000000000025,591.9,7600.0,7600.0,4168.676,0.01459822,2024-07
69,69,ETHUSDT,,Api-hs1,,,,,2024-07-14 09:05:04,0.0103791,0.3189,0.0719,2725.35,2024-07-14 09:06:05,2718.54,0 days 00:01:01,SHORT,0.25,0.0,0.0,3.900000000000005,595.8,800.0,800.0,4355.112,0.01525106,2024-07
70,70,MKRUSDT,,Api-hs1,,,,,2024-07-14 09:08:03,0.01007671,0.0,0.0,2116.8,2024-07-14 09:08:41,2111.5,0 days 00:00:38,SHORT,0.25,0.0,0.0,3.800000000000025,599.6,1.0,1.0,4228.3,0.014807,2024-07
71,71,BCHUSDT,,Api-hs1,,,,,2024-07-14 09:13:04,0.01001719,0.0,0.0,284.37,2024-07-14 09:13:24,283.66,0 days 00:00:20,SHORT,0.25,0.0,0.0,3.800000000000025,603.4000000000001,7400.0,7400.0,4203.422,0.01471985,2024-07
72,72,BCHUSDT,,Api-hs1,,,,,2024-07-14 09:16:04,0.00995149,0.0,0.0,286.38,2024-07-14 09:16:19,285.66,0 days 00:00:15,SHORT,0.25,0.0,0.0,3.800000000000025,607.2000000000002,7300.0,7300.0,4175.892000000001,0.0146235,2024-07
73,73,BCHUSDT,,Api-hs1,,,,,2024-07-14 09:19:03,0.0100148,0.0,0.0,292.21,2024-07-14 09:19:05,291.48,0 days 00:00:02,SHORT,0.25,0.0,0.0,3.800000000000025,611.0000000000002,7200.0,7200.0,4202.568,0.01471687,2024-07
74,74,BCHUSDT,,Api-hs1,,,,,2024-07-14 09:21:01,0.01000673,0.0,0.0,291.98,2024-07-14 09:21:05,291.25,0 days 00:00:04,SHORT,0.25,0.0,0.0,3.800000000000025,614.8000000000003,7200.0,7200.0,4199.255999999999,0.01470528,2024-07
75,75,INJUSDT,,Api-hs1,,,,,2024-07-14 15:11:04,0.00992706,0.2963,-679.0,34.759,2024-07-14 15:18:38,34.846,0 days 00:07:34,LONG,0.25,0.0,0.0,3.800000000000025,618.6000000000004,60.0,60.0,4176.3,0.01460922,2024-07
76,76,OPUSDT,,Api-hs1,,,,,2024-07-14 15:17:05,0.01002414,0.4388,0.1649,3.7606,2024-07-14 15:18:06,3.77,0 days 00:01:01,LONG,0.25,0.0,0.0,3.800000000000025,622.4000000000004,560.0,560.0,4217.136,0.01475208,2024-07
77,77,IMXUSDT,,Api-hs1,,,,,2024-07-14 15:47:04,0.01031631,0.6492,-0.5038,3.0963,2024-07-14 15:51:24,3.0886,0 days 00:04:20,SHORT,0.25,0.0,0.0,3.900000000000005,626.3000000000004,700.0,700.0,4329.43,0.01516109,2024-07
78,78,DOGEUSDT,,Api-hs1,,,,,2024-07-14 17:07:05,0.00999107,0.4453,-1.6876,0.08533,2024-07-14 17:34:49,0.08512,0 days 00:27:44,SHORT,0.25,0.0,0.0,3.699999999999974,630.0000000000003,24600.0,24600.0,4193.07,0.01468349,2024-07
79,79,IMXUSDT,,Api-hs1,,,,,2024-07-14 18:30:05,0.03427101,0.1598,-5.88,3.27290455,2024-07-14 23:09:08,3.2647,0 days 04:39:03,SHORT,0.25,0.01,0.00411073,14.90000000000002,644.9000000000003,2200.0,2200.0,14382.73,0.03546551,2024-07
80,80,VETUSDT,,Api-hs1,,,,,2024-07-14 19:30:05,0.00999316,0.2848,-0.1994,0.03511,2024-07-14 19:34:40,0.03502,0 days 00:04:35,SHORT,0.26,0.0,0.0,3.900000000000005,648.8000000000003,59800.0,59800.0,4193.773999999999,0.01468628,2024-07
81,81,STXUSDT,,Api-hs1,,,,,2024-07-14 23:33:03,0.05709553,0.0237,-10.8006,2.66600444,2024-07-15 05:43:43,2.6593,0 days 06:10:40,SHORT,0.25,0.01,0.0092875,25.70000000000008,674.5000000000003,4500.0,4500.0,23963.87,0.05400741,2024-07
82,82,API3USDT,,Api-hs1,,,,,2024-07-15 01:00:08,0.04991642,0.0,0.0,4.72442207,2024-07-15 01:00:43,4.7079,0 days 00:00:35,SHORT,0.35,0.01,0.0,29.300000000000068,703.8000000000004,2220.0,2220.0,20939.754995000003,0.07334415,2024-07
83,83,ICPUSDT,,Api-hs1,,,,,2024-07-15 01:29:03,0.01271959,0.0,0.0,13.365,2024-07-15 01:29:54,13.398,0 days 00:00:51,LONG,0.25,0.0,0.0,4.699999999999988,708.5000000000003,200.0,200.0,5352.6,0.0187242,2024-07
84,84,ETCUSDT,,Api-hs1,,,,,2024-07-15 01:35:05,0.01001024,0.0,0.0,26.629,2024-07-15 01:35:45,26.696,0 days 00:00:40,LONG,0.25,0.0,0.0,3.799999999999954,712.3000000000003,79.0,79.0,4212.675,0.01473641,2024-07
85,85,VETUSDT,,Api-hs1,,,,,2024-07-15 02:00:06,0.00999202,0.0,0.0,0.03652,2024-07-15 02:00:22,0.03643,0 days 00:00:16,SHORT,0.25,0.0,0.0,3.700000000000045,716.0000000000003,57500.0,57500.0,4194.625,0.01468895,2024-07
86,86,XRPUSDT,,Api-hs1,,,,,2024-07-15 03:17:05,0.01000256,0.0,0.0,0.5576,2024-07-15 03:17:17,0.5562,0 days 00:00:12,SHORT,0.25,0.0,0.0,3.799999999999954,719.8000000000003,3770.000000000001,3770.000000000001,4199.026,0.0147045,2024-07
87,87,APTUSDT,,Api-hs1,,,,,2024-07-15 03:29:04,0.01981855,0.2139,-4.532,9.917,2024-07-15 04:22:42,9.892,0 days 00:53:38,SHORT,0.25,0.0,0.0,8.199999999999932,728.0000000000002,420.0,420.0,8319.78,0.02282552,2024-07
88,88,NEOUSDT,,Api-hs1,,,,,2024-07-15 03:39:05,0.01000063,0.4946,-0.7694,12.738,2024-07-15 03:43:24,12.706,0 days 00:04:19,SHORT,0.25,0.0,0.0,3.799999999999954,731.8000000000002,165.0,165.0,4198.26,0.01470183,2024-07
